,Archive,Attendance,Contains_BOF,Newspaper Issue Date,Event_Date,Event_Location,Location,Newspaper,Notes,Organization_Hosting,Persons,Price_Event,Revenue,Unique_Reference_Number,MENU,s,Citation,City,State/Province,Country,Latitude,Longitude
0,BAnQ,,n,'1902-06-25,'1902-07-02,Mr. Dawson's Hall,"Erle, Quebec, Canada",The Sherbrooke Examiner,,Ladies' Aid Society,Mr. Lee Gorham,,,R_27,,,,Erle, Quebec, Canada,45.6995815,-71.6015947
1,BAnQ,,n,'1911-05-18,'1911-05-16,"Congregational Church, lecture room","Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,R_19,,,,Waterville, Quebec, Canada,45.277061,-71.890755
2,BAnQ,"""not well attended"" but ""was quite a success""",n,'1911-05-18,'1911-05-16,"Congregational Church, lecture room","Waterville, Quebec, Canada",Sherbrooke Daily Record,References same event as R_19,Willing Workers,,,,R_26,,,,Waterville, Quebec, Canada,45.277061,-71.890755
3,BAnQ,,n,'1894-05-18,'1894-05-17,,"Sherbrooke, Quebec, Canada",The Sherbrooke Examiner,,,,,,R_48,,,,Sherbrooke, Quebec, Canada,45.403271,-71.889038
4,BAnQ,,N,'1921-02-14,'1921-02-08,Elm Grove Hall,"West Shefford, Quebec, Canada",Sherbrooke Daily Record,,,,,31$ CAD,R_12,,,,West Shefford, Quebec, Canada,45.3642563,-72.56455755
5,BAnQ,,n,'1911-05-15,'1911-05-23,"Congregational Church, basement","Waterville, Quebec, Canada",Sherbrooke Daily Record,,Willing Workers,,,,R_18,,,,Waterville, Quebec, Canada,45.277061,-71.890755
6,BAnQ,,n,'1914-05-12,'1914-05-12,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,This newspaper references the same event as R_16,I.O.G.T.,,,,R_17,,,,Mansonville, Quebec, Canada,45.0497367,-72.3919878
7,BAnQ,"""well attended""",n,'1914-05-19,'1914-05-12,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,Miss Agnes Crowell; F. Kel-Sisco; Dr. E. H. Henderson; Rev. G. W. Runnells; E. Davis; Mr. S. A. Mason,,,R_20,,,,Mansonville, Quebec, Canada,45.0497367,-72.3919878
8,BAnQ,,n,'1914-05-08,'1914-05-12,Methodist Church Vestry,"Mansonville, Quebec, Canada",Sherbrooke Daily Record,,The Guiding Star Lodge No. 83,,,,R_16,,,,Mansonville, Quebec, Canada,45.0497367,-72.3919878
9,BAnQ,,n,'1924-03-27,'1924-04-01,"Residence of Hosts, Eleanor Parker, Myra Spencer","Shawville, Quebec, Canada",The Equity,"Interesting rendition of a Conundrum Supper, not the same as usual - April Fools CS",Eleanor Parker; Myra Spencer,Eleanor Parker; Myra Spencer,,,R_40,,,,Shawville, Quebec, Canada,45.605872,-76.494713
10,BAnQ,,N,'1936-04-27,'1936-04-23,Town Hall,"Island Brook, Quebec, Canada",Sherbrooke Daily Record,,Women's Association,,,,R_5,,,,Island Brook, Quebec, Canada,45.3890901,-71.4771606
11,BAnQ,,n,'1916-10-30,'1916-10-31,St. James Hall,"Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies of St. James Church,,,,R_25,,,,Farnham, Quebec, Canada,45.2831,-72.974968
12,BAnQ,50,N,'1914-01-13,'1914-01-06,Temperance Hall,"Sherbrooke, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,F. E. Dyer; Homer Ingalls; Rev. F. J. Hayden; Eugene Dyer; Glenna Griggs; Frederick Olmstead,,19$ CAD,R_3,,,,Sherbrooke, Quebec, Canada,45.403271,-71.889038
13,BAnQ,,N,'1913-01-14,'1913-01-17,Hurlburd and Stevens' Hall,"East Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Aid Society,,,,R_14,,,,East Farnham, Quebec, Canada,45.241294,-72.773094
14,BAnQ,,n,'1913-01-21,'1913-01-30,I.O.O.F. Hall,"East Angus, Quebec, Canada",Sherbrooke Daily Record,,Choral Society,,,,R_15,,,,East Angus, Quebec, Canada,45.4828558,-71.6594817
15,BAnQ,,y,'1903-11-16,'1903-11-14,Victoria Hall,"Montreal, Quebec, Canada",Montreal Gazette,References the same event as R_71,Boys' Sunshine Club of Westmount,,,,R_72,,,,Montreal, Quebec, Canada,45.4972159,-73.6103642
16,BAnQ,32,N,'1932-01-21,'1932-01-14,"Gordon Terrace, home of Miss Jessie Corey","nan, Quebec, Canada",Sherbrooke Daily Record,,Woman's Institue Members,Miss Jessie Corey; Miss McCain; Mrs. Percy Rhicard; Mrs. E. C. Knight; Mrs. Frank Corey; Mr. Lloyd Harris; Miss Dolena Nicholson; Miss Maude Fortin; Mr. Clifford Rhicard; Mrs. F. J. Laraway; Mrs. Raymond Wescott; Miss Sarach Yates; Mr. F. J. Laraway; Billy Rhicard,,,R_13,,,,, Quebec, Canada,52.4760892,-71.8258668
17,BAnQ,,n,'1936-05-21,,,"Dixville, Quebec, Canada",Sherbrooke Daily Record,"The newspaper mentions that at a certain event ""Plans were then made for a conundrum supper""",Woman's Institue Members,Mrs. Gordon Bellows,,,R_21,,,,Dixville, Quebec, Canada,45.067701,-71.770935
18,BAnQ,,n,'1972-05-30,'1972-05-17,Melbourne Ridge,"Maricourt, Quebec, Canada",The Sherbrooke Record,Conundrum tea,,Mrs. Anette Malboeuf; Mrs. Lucille Taylor; Mrs. Paul Papineau; Mrs. Real Larochelle; Mrs. Raymond Gifford,,,R_51,,,,Maricourt, Quebec, Canada,45.5636228,-72.2637526
19,BAnQ,,N,'1932-12-27,'1932-12-21,School room of United Church,"Cowansville, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Community Guild,,,,R_7,,,,Cowansville, Quebec, Canada,45.207445,-72.7480524
20,BAnQ,,N,'1914-12-22,'1914-12-15,Home residence of hosts,"Martinville, Quebec, Canada",Sherbrooke Daily Record,,Mr. J. J. Parsons; Mrs. J. J. Parsons,Laurel Merril; Pearl Martin; John Martin,,~40$ CAD,R_6,,,,Martinville, Quebec, Canada,45.278269,-71.714287
21,BAnQ,,n,'1907-11-14,'1919-11-20,Orange Hall,"Shawville, Quebec, Canada",The Equity,,The Ladies' Aid of the Presbyterian Church,,,,R_41,,,,Shawville, Quebec, Canada,45.605872,-76.494713
22,BAnQ,,N,'1913-12-31,'1914-01-02,Temperance Hall,"Sutton, Quebec, Canada",Sherbrooke Daily Record,,,,,,R_8,,,,Sutton, Quebec, Canada,45.1109765,-72.6177899
23,BAnQ,,,'1903-11-14,'1903-11-14,Victoria Hall,"Montreal, Quebec, Canada",Montreal Gazette,,Boys' Sunshine Club of Westmount,,,,R_71,,,,Montreal, Quebec, Canada,45.4972159,-73.6103642
24,BAnQ,,N,'1921-02-02,'1921-02-08,Elm Grove Hall,"West Shefford, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Guild of St. John's Church,,,,R_9,,,,West Shefford, Quebec, Canada,45.3642563,-72.56455755
25,BAnQ,,n,'1936-05-23,,Hall,"Dixville, Quebec, Canada",Sherbrooke Daily Record,Apparently is the event they planned in the newspaper reference R_21,Woman's Institue Members,,,7$ CAD,R_22,,,,Dixville, Quebec, Canada,45.067701,-71.770935
26,BAnQ,"""very well attended""",n,'1913-11-10,'1913-10-31,Foresters' Hall,"Hatley, Quebec, Canada",Sherbrooke Daily Record,,"Amateur Dramatic and Literary Society, in connection with St. James Church",,,,R_23,,,,Hatley, Quebec, Canada,45.185909,-71.93676
27,BAnQ,,n,'1899-12-15,'1899-12-08,Church basement,"Farnham, Quebec, Canada",The Sherbrooke Examiner,"Newspaper date is inconsitent, one page writes December 15, the other pages December 11",Methodist Church choir,Mr. McFarlane; Mrs. Jamieson; Mrs. Wm. Nixon; Miss Mitchell; Miss Nixon; Mr. Fraser; Mrs. Fraser; Miss Fraser; Mr. McKay; Miss Eager; Rev. Mr. Henderson; Mr. Pike,,,R_49,,,,Farnham, Quebec, Canada,45.2831,-72.974968
28,BAnQ,,,'1894-11-03,,St. James Methodist Church,"Montreal, Quebec, Canada",Montreal Gazette,,Ladies' Aid Society,,,,R_70,,,,Montreal, Quebec, Canada,45.4972159,-73.6103642
29,BAnQ,,,'1925-11-02,'1925-10-31,Boys Home of Montreal on Mountain,"Montreal, Quebec, Canada",Montreal Gazette,,Boys Home of Montreal on Mountain,,,,R_75,,,,Montreal, Quebec, Canada,45.4972159,-73.6103642
30,BAnQ,,N,'1913-02-07,'1913-01-30,,"East Angus, Quebec, Canada",Sherbrooke Daily Record,,Choral Society,Mrs. C. N. Andrews; Mr. R. McCrae; Mr. H. Thompson; Mr. L. MacKey,,,R_11,,,,East Angus, Quebec, Canada,45.4828558,-71.6594817
31,BAnQ,,n,'1899-02-08,,,"Quebec City, Quebec, Canada",The Quebec Chronicle,"""A recent society fad is called the conundrum supper""",,Mrs. Snaggs; Mr. Snaggs,,,R_46,,,,Quebec City, Quebec, Canada,46.8259601,-71.2352226
32,BAnQ,,n,'1957-11-28,'1907-11-27,Orange Hall,"Sawville, Quebec, Canada",The Equity,"""50 years ago"" section",The Ladies' Aid of the Presbyterian Congregation,,,~90$ CAD,R_65,,,,Sawville, Quebec, Canada,,
33,BAnQ,,Y,'1911-02-04,'1911-01-31,,"Stanbridge East, Quebec, Canada",Sherbrooke Daily Record,"Both Conundrum Event and Conundrum Tea referenced in newspaper (2 events that follow ione another); Conundrum tea given by ""the young ladies of the society""",Willing Workers,Mrs. E. L. Hodge; Mrs. C. S. Moore; Miss Ethel Struthers; Miss Curie; Master Lawrence Overing; Mrs. Ethel Paquette; Mrs. C. H. Hibbard; Miss Mamie Currie; Rev. R. Y. Overing; Miss Alice McKinney; Mr. G. W. Currigan; Miss Hazel Dyke; Miss Miriam Blinn; Edith Boffin; Rev. Rural Dean Robinson,,,R_10,"“That may be seen through”; “A popular roll”; “Seashore and superstition”; “A nightmare incubator”; “An industrious insect, A bright color, An animal with a hasty temper”; “The housewife’s job and the monkey’s delight”; “Our forefathers’ staff”; “Quaffs”; “I come before you”; “H-2- O.”; “I’ve been through the mill”; “A chip of the old block.”",,,Stanbridge East, Quebec, Canada,45.1215058,-72.9160073
34,BAnQ,,n,'1903-09-23,'1903-09-19,Hall,"South Dudswell, Quebec, Canada",The Sherbrooke Examiner,,Miss Pearl Orr,Miss Pearl Orr,,,R_50,,,,South Dudswell, Quebec, Canada,45.583817,-71.5754826
35,BAnQ,,n,'1901-12-26,'1901-12-31,,"Shawville, Quebec, Canada",The Equity,,"Willing Workers of the Presbyterian Chiurch, Portage du Fort",,,,R_39,,,,Shawville, Quebec, Canada,45.605872,-76.494713
36,BAnQ,,N,'1920-04-01,'1920-04-01,Douglas Hall,"Sherbrooke, Quebec, Canada",Sherbrooke Daily Record,,Philathea class,,,,R_4,,,,Sherbrooke, Quebec, Canada,45.403271,-71.889038
